order_id,customer_id,payment,order_date,delivery_date,delivery_time,customer_name,gender,age,home_address,zip_code,city,state,country,status
63,556,27577,2021-02-11,2021-03-08,25.0,fulan 556,Prefer not to say,61,9398 Schneider RidgeSuite 818,3140,West Kai,South Australia,Australia,Active
64,167,23668,2021-01-24,2021-02-15,22.0,fulan 167,Prefer not to say,34,1952 Collins StreetSuite 930,6902,Ellieshire,Australian Capital Territory,Australia,Active
65,388,22051,2021-06-26,2021-07-22,26.0,fulan 388,Prefer not to say,38,46 Spencer MeadowSuite 241,2940,New Mayaburgh,Northern Territory,Australia,Active
66,631,42774,2021-08-14,2021-08-22,8.0,fulan 631,Female,49,80 Chelsea KnollApt. 014,7749,Davidfurt,Northern Territory,Australia,Active
67,504,52694,2021-05-22,2021-06-17,26.0,fulan 504,Prefer not to say,56,9100 Kovacek GroveSuite 577,2384,Emilymouth,Northern Territory,Australia,Active
68,180,20552,2021-02-12,2021-02-18,6.0,fulan 180,Prefer not to say,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia,Active
69,96,40619,2021-03-08,2021-03-28,20.0,fulan 96,Prefer not to say,41,461 Nader LaneApt. 460,2012,Hudsontown,New South Wales,Australia,Active
70,802,11279,2021-05-15,2021-05-26,11.0,fulan 802,Female,72,26 Martin RoadSuite 393,749,Imogenmouth,Northern Territory,Australia,Active
71,795,20283,2021-02-14,2021-02-16,2.0,fulan 795,Prefer not to say,49,487 Summer MewsApt. 874,1712,East Hayden,Australian Capital Territory,Australia,Active
72,610,40072,2021-03-13,2021-03-16,3.0,fulan 610,Prefer not to say,31,0986 Mccullough MewsSuite 467,320,New Jayden,Tasmania,Australia,Active
73,965,16715,2021-07-24,2021-08-19,26.0,fulan 965,Prefer not to say,75,4627 Paige KnollApt. 635,5542,New Callumtown,Western Australia,Australia,Active
74,391,39655,2021-02-23,2021-02-27,4.0,fulan 391,Male,75,4592 Isabella BoulevardApt. 793,7524,North Sophieland,Australian Capital Territory,Australia,Active
75,68,16667,2021-08-24,2021-09-15,22.0,fulan 68,Female,23,373 Little JunctionApt. 299,6751,West Justin,Western Australia,Australia,Active
76,470,22762,2021-06-18,2021-06-26,8.0,fulan 470,Prefer not to say,45,2115 Henry GroveSuite 788,3138,Edwardtown,Western Australia,Australia,Active
77,680,56675,2021-04-19,2021-04-29,10.0,fulan 680,Prefer not to say,78,5530 Ashton GroveSuite 128,7905,Taylorfurt,New South Wales,Australia,Active
78,681,58179,2021-05-13,2021-05-29,16.0,fulan 681,Prefer not to say,79,096 Gibson ManorApt. 195,1323,West Alyssaton,Victoria,Australia,Active
79,236,54340,2021-03-16,2021-03-25,9.0,fulan 236,Prefer not to say,80,64 Phillips RunApt. 722,2752,East Sienna,New South Wales,Australia,Active
80,872,59554,2021-04-26,2021-05-20,24.0,fulan 872,Prefer not to say,74,17 Beatty Station StApt. 918,7892,West Lukeshire,New South Wales,Australia,Active
81,736,30150,2021-06-13,2021-06-15,2.0,fulan 736,Female,55,18 Eve LaneApt. 011,2962,Doylebury,Victoria,Australia,Active
82,927,32502,2021-02-02,2021-02-27,25.0,fulan 927,Male,61,868 Eliza CrescentSuite 085,1341,Ryanfurt,Victoria,Australia,Active
83,537,39729,2021-06-25,2021-07-01,6.0,fulan 537,Prefer not to say,45,155 Hayes AvenueApt. 699,7342,Krisland,Western Australia,Australia,Active
84,181,43438,2021-08-26,2021-09-20,25.0,fulan 181,Prefer not to say,27,35 Fahey CircuitSuite 014,1017,Port Joshuaside,Northern Territory,Australia,Active
85,251,43533,2021-03-10,2021-03-22,12.0,fulan 251,Female,78,786 Mackenzie StreetApt. 660,8520,Wilsonside,Australian Capital Territory,Australia,Active
86,874,27045,2021-08-05,2021-08-11,6.0,fulan 874,Prefer not to say,65,20 Hyatt LaneSuite 740,3840,South Zacmouth,Western Australia,Australia,Active
87,325,32961,2021-06-20,2021-07-16,26.0,fulan 325,Prefer not to say,68,32 Chase JunctionSuite 463,8304,West Claudia,South Australia,Australia,Active
88,567,10904,2021-07-19,2021-08-15,27.0,fulan 567,Female,39,3767 Mackenzie Estate DrApt. 877,7008,East Piper,Northern Territory,Australia,Active
89,448,29268,2021-10-22,2021-11-16,25.0,fulan 448,Prefer not to say,61,625 Anthony MewsApt. 730,3895,Liamton,Queensland,Australia,Active
90,809,11475,2021-06-13,2021-07-07,24.0,fulan 809,Prefer not to say,76,443 Holly AvenueSuite 631,8563,South Tyler,Tasmania,Australia,Active
91,803,16601,2021-09-02,2021-09-15,13.0,fulan 803,Prefer not to say,68,7377 Nicolas ParadeApt. 191,8377,Amyton,Australian Capital Territory,Australia,Active
92,273,37239,2021-01-12,2021-01-30,18.0,fulan 273,Prefer not to say,46,199 Amber MallSuite 954,1660,Noahmouth,Northern Territory,Australia,Active
93,908,52379,2021-10-22,2021-11-11,20.0,fulan 908,Prefer not to say,42,69 Sophie PlazaSuite 598,3603,South Alexandraview,Queensland,Australia,Active
94,629,47031,2021-03-08,2021-03-26,18.0,fulan 629,Male,53,4355 Caitlin CourtApt. 697,6606,Amberland,Western Australia,Australia,Active
95,413,52416,2021-01-25,2021-02-05,11.0,fulan 413,Prefer not to say,25,591 Sarah PassSuite 334,6700,Morissetteborough,Queensland,Australia,Active
96,415,12119,2021-06-20,2021-06-30,10.0,fulan 415,Prefer not to say,40,458 Imogen Station StSuite 799,7671,Dietrichville,South Australia,Australia,Active
97,106,17772,2021-03-29,2021-03-31,2.0,fulan 106,Prefer not to say,38,6553 Gibson AvenueSuite 245,7712,Stokestown,Australian Capital Territory,Australia,Active
98,257,44700,2021-04-29,2021-05-08,9.0,fulan 257,Prefer not to say,61,9347 Morrison RoadSuite 865,1166,Johnstonshire,Australian Capital Territory,Australia,Active
99,291,26787,2021-09-13,2021-09-25,12.0,fulan 291,Prefer not to say,43,6428 Boyle MallApt. 711,2048,South Hannah,Tasmania,Australia,Active
100,817,57063,2021-03-30,2021-04-16,17.0,fulan 817,Prefer not to say,45,887 Goldner PlazaSuite 053,2166,Johnsonstad,Tasmania,Australia,Active
101,807,25174,2021-01-31,2021-02-27,27.0,fulan 807,Prefer not to say,26,80 Adam HillSuite 633,953,Tylershire,Queensland,Australia,Active
102,846,41382,2021-05-07,2021-05-26,19.0,fulan 846,Prefer not to say,72,69 Michael PlazaApt. 659,6634,Davidtown,Victoria,Australia,Active
103,209,49852,2021-06-16,2021-06-24,8.0,fulan 209,Female,29,47 Green ParkwayApt. 868,8313,Bayermouth,South Australia,Australia,Active
104,366,11454,2021-06-05,2021-06-23,18.0,fulan 366,Prefer not to say,64,491 Fisher IslandSuite 745,1110,Youngview,Victoria,Australia,Active
105,456,46013,2021-06-25,2021-07-14,19.0,fulan 456,Prefer not to say,33,94 Archie CourtSuite 659,2010,West Lachlan,Queensland,Australia,Active
106,573,12033,2021-03-09,2021-03-28,19.0,fulan 573,Male,37,80 Charles CircuitSuite 023,7541,Abbeyshire,South Australia,Australia,Active
107,127,58760,2021-01-11,2021-02-03,23.0,fulan 127,Prefer not to say,30,769 Gibson TrailApt. 359,3708,South Adam,Western Australia,Australia,Active
108,935,52439,2021-03-07,2021-03-28,21.0,fulan 935,Male,30,09 Baumbach LoopSuite 059,2273,Lake Oliverberg,New South Wales,Australia,Active
109,554,12707,2021-04-06,2021-04-29,23.0,fulan 554,Prefer not to say,56,821 Isabella JunctionApt. 238,1928,New Benjaminborough,Tasmania,Australia,Active
110,607,15385,2021-09-02,2021-09-06,4.0,fulan 607,Male,42,8397 Davis CrescentApt. 905,8092,North Gracetown,Northern Territory,Australia,Active
111,794,34096,2021-03-30,2021-04-14,15.0,fulan 794,Prefer not to say,72,14 Clark PlazaSuite 716,9751,Port Anna,South Australia,Australia,Active
112,75,46956,2021-02-04,2021-02-17,13.0,fulan 75,Prefer not to say,75,96 Caitlin HillSuite 366,9777,Smythland,South Australia,Australia,Active
113,565,49592,2021-03-19,2021-04-08,20.0,fulan 565,Prefer not to say,73,27 Kiara MeadowSuite 662,4126,Hamiltonport,Queensland,Australia,Active
114,160,49686,2021-08-08,2021-09-02,25.0,fulan 160,Male,26,70 Phoenix DriveApt. 109,3950,Hicklebury,New South Wales,Australia,Active
115,492,12685,2021-04-11,2021-04-22,11.0,fulan 492,Prefer not to say,62,046 Leah RidgeSuite 190,8954,Josephmouth,Queensland,Australia,Active
116,510,15397,2021-04-25,2021-05-20,25.0,fulan 510,Prefer not to say,67,2684 Tillman ParadeApt. 492,7867,Alexandramouth,New South Wales,Australia,Active
117,971,58134,2021-01-08,2021-01-23,15.0,fulan 971,Prefer not to say,27,135 Ella RunApt. 424,4268,East Chasehaven,Queensland,Australia,Active
118,639,37950,2021-02-20,2021-02-22,2.0,fulan 639,Prefer not to say,40,23 Zara KnollApt. 502,6722,Lake Alice,Victoria,Australia,Active
119,545,19955,2021-04-29,2021-05-06,7.0,fulan 545,Prefer not to say,59,27 Hermann ManorSuite 124,8864,Durgantown,Queensland,Australia,Active
120,585,53001,2021-06-09,2021-06-14,5.0,fulan 585,Prefer not to say,23,01 Lee GroveSuite 419,3863,West Bella,South Australia,Australia,Active
121,549,27436,2021-04-21,2021-04-23,2.0,fulan 549,Male,50,667 Feil RidgeSuite 935,1919,Gleasonburgh,Northern Territory,Australia,Active
122,732,29226,2021-04-13,2021-05-04,21.0,fulan 732,Prefer not to say,80,905 Stephanie BoulevardApt. 217,8114,Port Aaronton,Queensland,Australia,Active
123,471,17133,2021-03-04,2021-03-22,18.0,fulan 471,Prefer not to say,31,8662 Maya PlaceApt. 834,8731,Boyerland,New South Wales,Australia,Active
124,776,43888,2021-07-06,2021-07-15,9.0,fulan 776,Prefer not to say,24,3744 Max PlaceApt. 109,8348,Harveyville,Australian Capital Territory,Australia,Active
125,321,29600,2021-10-22,2021-11-03,12.0,fulan 321,Female,44,52 Savannah LaneApt. 519,6724,Kaihaven,New South Wales,Australia,Active
126,326,29536,2021-01-31,2021-02-20,20.0,fulan 326,Prefer not to say,54,624 Bode TrailSuite 795,6294,New Masonport,Northern Territory,Australia,Active
127,51,43262,2021-04-01,2021-04-11,10.0,fulan 51,Prefer not to say,52,59 Hand ManorApt. 544,6322,South Evaport,Northern Territory,Australia,Active
128,936,17661,2021-10-13,2021-11-09,27.0,fulan 936,Prefer not to say,77,562 Mann MeadowApt. 977,2372,Huelfort,Australian Capital Territory,Australia,Active
129,428,42185,2021-05-24,2021-05-27,3.0,fulan 428,Prefer not to say,66,80 Hermiston WaySuite 403,1112,North Liamfort,Australian Capital Territory,Australia,Active
130,439,12827,2021-06-20,2021-07-15,25.0,fulan 439,Female,75,378 John MallSuite 835,3142,West Thomas,Victoria,Australia,Active
131,629,52850,2021-09-20,2021-09-24,4.0,fulan 629,Male,53,4355 Caitlin CourtApt. 697,6606,Amberland,Western Australia,Australia,Active
132,562,10396,2021-04-17,2021-05-01,14.0,fulan 562,Prefer not to say,58,04 Spencer MallApt. 910,8257,West Rubyland,Queensland,Australia,Active
133,878,43759,2021-07-07,2021-07-17,10.0,fulan 878,Prefer not to say,54,478 Amy RunSuite 042,5733,Lake William,Victoria,Australia,Active
134,12,39451,2021-06-19,2021-07-01,12.0,fulan 12,Prefer not to say,78,66 Kayla MewsSuite 951,6334,Taylorburgh,South Australia,Australia,Active
135,942,53723,2021-05-15,2021-06-02,18.0,fulan 942,Prefer not to say,45,040 Patrick Estate DrApt. 254,5149,North Nicholaston,Victoria,Australia,Active
136,539,35331,2021-09-06,2021-09-08,2.0,fulan 539,Male,78,6481 Isaac LoopApt. 355,4362,Port Blake,Queensland,Australia,Active
137,298,58875,2021-10-18,2021-10-20,2.0,fulan 298,Female,29,42 Mackenzie CourtApt. 934,6386,Sanfordberg,Queensland,Australia,Active
138,331,50666,2021-02-05,2021-02-10,5.0,fulan 331,Prefer not to say,32,5756 Savannah DriveApt. 644,7980,Aidenton,Northern Territory,Australia,Active
139,871,11224,2021-06-15,2021-06-28,13.0,fulan 871,Prefer not to say,48,174 Thomson StreetSuite 883,3471,Port Joshualand,Western Australia,Australia,Active
140,539,35025,2021-04-08,2021-04-13,5.0,fulan 539,Male,78,6481 Isaac LoopApt. 355,4362,Port Blake,Queensland,Australia,Active
141,528,40203,2021-08-26,2021-09-13,18.0,fulan 528,Prefer not to say,63,556 Jacobson PlaceApt. 974,1126,Lake Madelineton,Western Australia,Australia,Active
142,237,53165,2021-06-15,2021-07-12,27.0,fulan 237,Prefer not to say,71,3679 Kiehn ParkwaySuite 444,6639,Lake Mollyburgh,New South Wales,Australia,Active
143,828,37187,2021-02-08,2021-02-11,3.0,fulan 828,Female,57,381 Matthew Estate DrSuite 656,6351,East Zacharystad,Queensland,Australia,Active
144,928,15762,2021-05-22,2021-05-28,6.0,fulan 928,Prefer not to say,63,5014 Gemma ParadeSuite 066,1048,Haydentown,Australian Capital Territory,Australia,Active
145,871,26358,2021-02-02,2021-02-10,8.0,fulan 871,Prefer not to say,48,174 Thomson StreetSuite 883,3471,Port Joshualand,Western Australia,Australia,Active
146,912,22750,2021-08-30,2021-09-26,27.0,fulan 912,Prefer not to say,60,501 Nader RidgeApt. 355,7229,West John,Tasmania,Australia,Active
147,818,20690,2021-09-28,2021-10-16,18.0,fulan 818,Prefer not to say,59,5085 Bergstrom MewsApt. 347,3302,West Eviebury,Western Australia,Australia,Active
148,573,14073,2021-01-14,2021-01-24,10.0,fulan 573,Male,37,80 Charles CircuitSuite 023,7541,Abbeyshire,South Australia,Australia,Active
149,500,31490,2021-03-03,2021-03-14,11.0,fulan 500,Prefer not to say,78,74 Aaron HillSuite 794,1819,Port Haydenchester,Western Australia,Australia,Active
150,462,34428,2021-06-22,2021-06-27,5.0,fulan 462,Prefer not to say,45,22 Ellie View RdApt. 141,1919,D'amoreborough,South Australia,Australia,Active
151,357,24626,2021-08-08,2021-09-01,24.0,fulan 357,Prefer not to say,41,63 Charlie LaneSuite 463,7454,North Kaylastad,Australian Capital Territory,Australia,Active
152,320,24866,2021-03-09,2021-03-12,3.0,fulan 320,Prefer not to say,43,83 Reynolds ParadeSuite 974,299,Howehaven,Tasmania,Australia,Active
153,727,49677,2021-10-21,2021-11-17,27.0,fulan 727,Female,26,2752 Lily RoadApt. 721,3249,Jacobport,New South Wales,Australia,Active
154,674,49994,2021-10-17,2021-11-07,21.0,fulan 674,Prefer not to say,36,5420 Amelia IslandSuite 286,4389,Goodwinmouth,South Australia,Australia,Active
155,834,11166,2021-06-30,2021-07-18,18.0,fulan 834,Prefer not to say,61,4838 Jacobi HillApt. 825,2848,Port Ellaside,New South Wales,Australia,Active
156,727,37878,2021-07-10,2021-07-29,19.0,fulan 727,Female,26,2752 Lily RoadApt. 721,3249,Jacobport,New South Wales,Australia,Active
157,909,17955,2021-04-07,2021-04-17,10.0,fulan 909,Prefer not to say,62,976 Murray Station StApt. 036,3227,Langfort,Tasmania,Australia,Active
158,828,14010,2021-07-13,2021-08-04,22.0,fulan 828,Female,57,381 Matthew Estate DrSuite 656,6351,East Zacharystad,Queensland,Australia,Active
159,208,12449,2021-09-05,2021-09-13,8.0,fulan 208,Prefer not to say,71,814 Jayden MewsSuite 958,994,Josephland,South Australia,Australia,Active
160,725,41442,2021-07-31,2021-08-06,6.0,fulan 725,Prefer not to say,23,345 Elijah TrailSuite 066,9174,Gracemouth,Northern Territory,Australia,Active
161,566,45840,2021-03-22,2021-04-11,20.0,fulan 566,Male,23,95 Rice Station StSuite 985,2919,O'keefeton,Tasmania,Australia,Active
162,431,20238,2021-04-25,2021-05-05,10.0,fulan 431,Prefer not to say,41,535 Angelina CourtSuite 875,8422,Jademouth,Victoria,Australia,Active
163,84,11473,2021-06-12,2021-06-17,5.0,fulan 84,Female,63,195 Wilson HillApt. 597,7587,Lake Paigemouth,Northern Territory,Australia,Active
164,412,26249,2021-05-21,2021-06-03,13.0,fulan 412,Prefer not to say,21,7048 Barrows CrescentSuite 562,238,Hackettchester,South Australia,Australia,Active
165,389,28345,2021-06-23,2021-07-20,27.0,fulan 389,Prefer not to say,41,5990 John View RdApt. 812,5989,Lake Lukeberg,South Australia,Australia,Active
166,113,11914,2021-07-11,2021-07-14,3.0,fulan 113,Prefer not to say,57,29 David JunctionApt. 733,3303,North Ruby,South Australia,Australia,Active
167,595,44269,2021-06-26,2021-07-18,22.0,fulan 595,Female,60,313 Grace LoopApt. 523,939,Ameliaview,South Australia,Australia,Active
168,664,51244,2021-01-10,2021-01-27,17.0,fulan 664,Prefer not to say,32,157 Rohan MallApt. 466,4145,East Max,Tasmania,Australia,Active
169,996,22089,2021-03-09,2021-03-12,3.0,fulan 996,Prefer not to say,59,0433 Armstrong HillSuite 974,7613,Lake Danielland,Tasmania,Australia,Active
170,867,28597,2021-08-17,2021-09-03,17.0,fulan 867,Prefer not to say,36,68 Doyle View RdSuite 917,757,Port Davidburgh,Tasmania,Australia,Active
171,443,19467,2021-09-14,2021-09-16,2.0,fulan 443,Prefer not to say,49,033 Mitchell IslandApt. 732,9651,Crooksshire,Victoria,Australia,Active
172,224,47514,2021-01-05,2021-01-27,22.0,fulan 224,Prefer not to say,78,20 Xavier RidgeApt. 805,7744,Hansenberg,New South Wales,Australia,Active
173,435,30001,2021-06-06,2021-07-01,25.0,fulan 435,Prefer not to say,41,1649 Owen JunctionApt. 523,5868,South Tobyton,South Australia,Australia,Active
174,497,46769,2021-02-22,2021-03-17,23.0,fulan 497,Prefer not to say,31,0487 Jordan TerraceSuite 509,9290,North Aidentown,Northern Territory,Australia,Active
175,309,57197,2021-03-22,2021-04-16,25.0,fulan 309,Prefer not to say,29,5302 Ava TerraceApt. 295,7246,Lake Edward,Queensland,Australia,Active
176,574,28185,2021-09-26,2021-10-04,8.0,fulan 574,Prefer not to say,53,1804 Ella HillSuite 318,9400,Zacharybury,Northern Territory,Australia,Active
177,315,11314,2021-08-20,2021-09-01,12.0,fulan 315,Prefer not to say,49,86 Christiansen HillSuite 955,2395,East Michaelmouth,Australian Capital Territory,Australia,Active
